substrate: T=40 p=0.020  bare P(cat)=0.5543

== Result 1: additive ledger, super-additive harm (cov=1/sigma) ==
sigma    cov      P(cat)     MC logged  MC true/logged
1.00     1.0000   0.0000     1.0000     1.0000        
1.25     0.8000   0.1481     1.0000     1.2500        
1.50     0.6667   0.2348     1.0000     1.5000        
2.00     0.5000   0.3310     1.0000     2.0000        
3.00     0.3333   0.4155     1.0000     3.0000        

== Result 2: model interactions, loop routes around (cov=phi_m^A, A=16) ==
phi_m    cov        P(cat)     MC cov      
0.00     0.00000    0.5543     0.00000     
0.80     0.02815    0.5439     0.02802     
0.90     0.18530    0.4817     0.18579     
0.95     0.44013    0.3626     0.44011     
0.99     0.85146    0.1122     0.85167     
1.00     1.00000    0.0000     1.00000     

== Result 3: joint-state cap holds; retained combinatorial throughput ==
D        harm-cov   throughput    
1        1.000      1.0000        
2        1.000      0.5000        
4        1.000      0.2500        
8        1.000      0.1250        
16       1.000      0.0625        
32       1.000      0.0312        

== Result 4a: self-reported joint model shares blind basis (cov=1-f) ==
f        cov        P(cat)    
0.00     1.0000     0.0000    
0.25     0.7500     0.1817    
0.50     0.5000     0.3310    
0.75     0.2500     0.4537    
1.00     0.0000     0.5543    

== Result 4b: accounting-granularity margin (cov=1/(1+Delta)) ==
Delta    cov        P(cat)    
0.00     1.0000     0.0000    
0.25     0.8000     0.1481    
0.50     0.6667     0.2348    
1.00     0.5000     0.3310    
2.00     0.3333     0.4155    
